"","X","DAY","MONTH","YEAR","LATITUDE.x","LONGITUDE.x","Depth","Magnitude","Magnitude.Type","FLAG_TSUNAMI","INTENSITY","COUNTRY","LOCATION_NAME","DEATHS","INJURIES","DAMAGE_MILLIONS_DOLLARS","HOUSES_DESTROYED","HOUSES_DAMAGED","TOTAL_MISSING","PeopleAffected","PropertyDamanged"
"720",720,22,6,1977,-22.878,-175.9,65,6.8,"MB",1,4,"TONGA","TONGA TRENCH",1,5,1.2,60,15700,70,76,15760
"721",721,22,6,2002,35.626,49.047,10,6.5,"MWC",0,8,"IRAN","IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU",261,1300,300,2005,126,1,1562,2131
"722",722,22,7,1967,40.751,30.8,30,7.4,"MW",0,10,"TURKEY","TURKEY:  MUDURNU, ADAPAZARI",86,4755,3,6000,45,138,4979,6045
"723",723,22,7,1983,36.948,49.18,41.3,5.6,"MB",0,6,"IRAN","IRAN:  NW, ZANJIN",3,41,5,75,18771,62,106,18846
"724",724,22,9,1987,-0.978,-78.05,10,6.4,"MW",0,7,"ECUADOR","ECUADOR:  AMBATO, LATACUNGA, RIOBAMBA",2,12,5,300,2740,6,20,3040
"725",725,22,9,1989,31.583,102.433,14.6,6.1,"MW",0,8,"CHINA","CHINA:  SICHUAN PROVINCE:  XIAOJIN COUNTY",1,151,2200,4270,8229,15,167,12499
"726",726,22,9,2003,19.777,-70.673,10,6.4,"MWB",0,10,"DOMINICAN REPUBLIC","DOMINICAN REPUBLIC:  PUERTO PLATA, SANTIAGO",3,15,20,2678,50,62,80,2728
"727",727,23,1,1975,33.026,131.092,10,5.8,"MS",0,7,"JAPAN","JAPAN:  AROSAN",126,1500,1,13380,597,28,1654,13977
"728",728,23,1,1981,30.927,101.098,33,6.8,"MS",0,8,"CHINA","CHINA:  SICHUAN PROVINCE",150,489,5,2992,2230,138,777,5222
"729",729,23,1,2003,-8.807,118.524,33,5.5,"MWC",0,6,"INDONESIA","INDONESIA:  SUMBAWA ISLAND:  DOMPU",54,2,2.1,6000,500,17,73,6500
