"","DAY","MONTH","YEAR","LATITUDE","LONGITUDE","Date","Time","Type","Depth","Depth.Error","Depth.Seismic.Stations","Magnitude","Magnitude.Type","Magnitude.Error","Magnitude.Seismic.Stations","Azimuthal.Gap","Horizontal.Distance","Horizontal.Error","Root.Mean.Square","ID","Source","Location.Source","Magnitude.Source","Status","I_D","FLAG_TSUNAMI","HOUR","MINUTE","SECOND","FOCAL_DEPTH","EQ_PRIMARY","EQ_MAG_MW","EQ_MAG_MS","EQ_MAG_MB","EQ_MAG_ML","EQ_MAG_MFA","EQ_MAG_UNK","INTENSITY","COUNTRY","STATE","LOCATION_NAME","REGION_CODE","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","HOUSES_DAMAGED","HOUSES_DAMAGED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION","TOTAL_HOUSES_DAMAGED","TOTAL_HOUSES_DAMAGED_DESCRIPTION"
"752","29","7","1980",29.598,81.092,"7/29/1980","14:58:41","Earthquake",18,NA,NA,6.5,"MS",NA,NA,NA,NA,NA,NA,"USP0001959","US","US","US","Reviewed",4888,"",14,58,40.8,18,6.5,NA,6.5,6.1,NA,NA,NA,NA,"NEPAL","","NEPAL-INDIA:   PITHORAGARH",60,200,3,NA,NA,NA,3,245,4,NA,NA,NA,NA,200,3,NA,NA,NA,3,245,4,NA,NA,NA,NA
"753","29","7","1985",36.19,70.896,"7/29/1985","7:54:44","Earthquake",98.7,3.8,NA,7.4,"MW",NA,NA,NA,NA,NA,1,"USP0002H5Z","US","US","HRV","Reviewed",5070,"",7,54,44,99,6.6,NA,NA,6.6,NA,NA,NA,8,"AFGHANISTAN","","AFGHANISTAN:  HINDU KUSH:  CHITRAL, SWAT",40,5,1,NA,NA,38,1,2,2,NA,NA,NA,NA,5,1,NA,NA,38,1,2,2,NA,NA,NA,NA
"754","29","7","2006",37.255,68.828,"7/29/2006","0:11:51","Earthquake",34.2,NA,184,5.6,"MWC",NA,NA,64.5,NA,NA,0.91,"USP000EPSZ","US","US","HRV","Reviewed",7363,"",0,11,51.3,34,5.6,5.6,5.2,4.8,NA,NA,NA,NA,"TAJIKISTAN","","TAJIKISTAN:  PANJ-QUMSANGIR",40,3,1,NA,NA,19,1,NA,NA,721,3,721,3,3,1,NA,NA,19,1,NA,NA,721,3,NA,NA
"755","29","9","1982",14.487,-89.121,"9/29/1982","5:50:32","Earthquake",12,NA,NA,5.5,"MB",NA,71,NA,NA,NA,0.9,"USP0001PWE","US","US","US","Reviewed",4950,"",5,50,32.2,12,5.1,NA,5.1,5.1,NA,NA,NA,4,"HONDURAS","","HONDURAS-GUATEMALA-EL SALVADOR",100,3,1,NA,NA,2,1,NA,2,NA,3,554,3,3,1,NA,NA,2,1,NA,2,NA,3,554,3
"756","29","9","1993",18.066,76.451,"9/29/1993","22:25:49","Earthquake",6.8,NA,NA,6.2,"MWB",NA,NA,NA,NA,NA,1,"USP000618C","US","US","US","Reviewed",5364,"",22,25,48.6,7,6.2,6.2,6.2,6.3,NA,NA,NA,8,"INDIA","","INDIA:  LATUR-OSMANABAD, KILLARI",60,11000,4,NA,NA,30000,4,300,4,NA,4,NA,4,11000,4,NA,NA,30000,4,300,4,NA,4,NA,NA
"757","29","9","1998",44.209,20.08,"9/29/1998","22:14:50","Earthquake",10,NA,NA,5.5,"MWC",NA,NA,NA,NA,NA,1.1,"USP0008VQZ","US","US","HRV","Reviewed",5505,"",22,14,49.5,10,5.5,5.5,5.3,5.2,NA,NA,NA,8,"SERBIA AND MONTENEGRO","","BALKANS NW:  SERBIA:  BELGRADE, LJIG, VALJEVO",130,1,1,NA,NA,17,1,NA,2,NA,3,NA,NA,1,1,NA,NA,17,1,NA,2,NA,3,NA,NA
"758","29","9","2006",10.814,-61.758,"9/29/2006","18:23:06","Earthquake",52,NA,359,5.5,"MWB",NA,NA,71.6,NA,NA,1.1,"USP000EU32","US","US","US","Reviewed",7409,"",18,23,5.9,52,5.5,5.5,4.8,5.3,NA,NA,NA,NA,"TRINIDAD AND TOBAGO","","TRINIDAD:  GASPARILLO",90,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"759","29","9","2006",10.876,-61.756,"9/29/2006","13:08:26","Earthquake",53,NA,603,6.1,"MWC",NA,NA,29.5,NA,NA,0.92,"USP000EU2N","US","US","GCMT","Reviewed",7408,"",13,8,26.1,53,6.1,6.1,5.4,5.9,NA,NA,NA,NA,"TRINIDAD AND TOBAGO","","TRINIDAD:  PORT-OF-SPAIN",90,NA,NA,NA,NA,3,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,3,1,NA,1,1,1,NA,NA
"760","29","9","2009",-15.489,-172.095,"9/29/2009","17:48:11","Earthquake",18,NA,520,8.1,"MWC",NA,NA,20.8,NA,NA,1.01,"USP000H1YS","US","US","GCMT","Reviewed",8408,"Tsu",17,48,10.9,18,8.1,8.1,8.1,7.1,NA,NA,NA,NA,"SAMOA","","SAMOA ISLANDS",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,3,NA,NA,7,1,285,4,NA,NA,NA,NA
"761","3","1","1994",36.028,100.104,"1/3/1994","5:52:28","Earthquake",8.2,NA,NA,5.7,"MWB",NA,NA,NA,NA,NA,1,"USP00065YQ","US","US","US","Reviewed",5370,"",5,52,27.6,8,5.7,5.7,5.5,5.8,NA,NA,NA,NA,"CHINA","","CHINA:  QINGHAI PROVINCE:  GONGHE",30,NA,NA,NA,NA,5,1,NA,1,56,2,56,2,NA,NA,NA,NA,5,1,NA,1,56,2,NA,NA
